p,p_percent,accept_prob,reject_prob,inconclusive_prob
0.02,2.0,0.9999999998423889,1.7558498439694002e-23,1.5761114635635586e-10
0.021,2.1,0.9999999995106377,1.2634193741108243e-22,4.893623284373107e-10
0.022,2.1999999999999997,0.9999999985807976,8.168795866122174e-22,1.4192024222473168e-09
0.023,2.3,0.9999999961322658,4.7911551606871794e-21,3.867734243984882e-09
0.024,2.4,0.9999999900422216,2.570330787073489e-20,9.957778379617697e-09
0.025,2.5,0.999999975668035,1.2704538509318451e-19,2.433196499827602e-08
0.026,2.6,0.9999999433396343,5.822816364049065e-19,5.666036573201475e-08
0.027,2.7,0.9999998738037132,2.488740733954686e-18,1.2619628675132149e-07
0.028,2.8000000000000003,0.9999997302977163,9.970049224387527e-18,2.6970228371838686e-07
0.029,2.9000000000000004,0.9999994453082707,3.760566394833856e-17,5.54691729288823e-07
0.03,3.0,0.9999988992762275,1.3409564449591526e-16,1.1007237723284128e-06
0.031,3.1,0.9999978875603461,4.537063384722733e-16,2.1124396534137197e-06
0.032,3.2,0.9999960709046817,1.461421024590437e-15,3.929095316860997e-06
0.033,3.3000000000000003,0.999992903547976,4.494948225960536e-15,7.096452019518596e-06
0.034,3.4000000000000004,0.9999875320820817,1.323775144162208e-14,1.246791790507517e-05
0.035,3.5000000000000004,0.9999786573629619,3.742240669846172e-14,2.1342637000701817e-05
0.036,3.5999999999999996,0.9999643513813373,1.017824860346769e-13,3.564861856089339e-05
0.037,3.6999999999999997,0.9999418212031246,2.669022963918436e-13,5.817879660851653e-05
0.038,3.8,0.9999071130755047,6.760992694665676e-13,9.288692381917309e-05
0.039,3.9,0.999854751713416,1.6573835395978578e-12,0.00014524828492663746
0.04,4.0,0.9997773127234907,3.938280298679607e-12,0.00022268727257103432
0.041,4.1000000000000005,0.9996649300956862,9.084999067175853e-12,0.0003350698952287571
0.042,4.2,0.9995047456025921,2.037480741192416e-11,0.000495254377033133
0.043,4.3,0.999280312588079,4.44820500254318e-11,0.0007196873674389162
0.044,4.3999999999999995,0.9989709726876738,9.465239767430033e-11,0.0010290272176738384
0.045,4.5,0.9985512300955416,1.9653097747395658e-10,0.001448769707927436
0.046,4.6,0.9979901536031898,3.9860918094660145e-10,0.0020098459982010523
0.047,4.7,0.9972508412765814,7.90523710867764e-10,0.0027491579328949214
0.048,4.8,0.9962899858178855,1.534408119061987e-09,0.0037100126477063546
0.049,4.9,0.9950575799387272,2.91747548831642e-09,0.004942417143797279
0.05,5.0,0.993496800118421,5.43842029329249e-09,0.0065031944431586984
0.051,5.1,0.9915441037361632,9.946612146325685e-09,0.008455886317224657
0.052,5.2,0.9891295687179669,1.7862099923134192e-08,0.01087041341993321
0.053,5.3,0.9861774966727513,3.151698894281887e-08,0.013822471810259716
0.054,5.4,0.9826072903285834,5.4675784215272176e-08,0.01739265499563238
0.055,5.5,0.9783346043993078,9.331493079763314e-08,0.021665302285761454
