panel,x,strategy_a_profit,strategy_b_profit,profit_diff
case5_exchange_loss,10.0,11.987654320987659,11.864197530864203,0.12345679012345556
case5_exchange_loss,10.25,11.929012345679013,11.864197530864203,0.06481481481480955
case5_exchange_loss,10.5,11.870370370370374,11.864197530864203,0.0061728395061706465
case5_exchange_loss,10.526315789473646,11.864197530864203,11.864197530864203,0.0
case5_exchange_loss,10.53,11.863333333333337,11.864197530864203,-0.0008641975308663064
case5_exchange_loss,10.75,11.811728395061735,11.864197530864203,-0.05246913580246826
case5_exchange_loss,11.0,11.753086419753089,11.864197530864203,-0.11111111111111427
case5_exchange_loss,10.0,11.987654320987659,11.864197530864203,0.12345679012345556
case5_exchange_loss,10.25,11.929012345679013,11.864197530864203,0.06481481481480955
case5_exchange_loss,10.5,11.870370370370374,11.864197530864203,0.0061728395061706465
case5_exchange_loss,10.526315789473646,11.864197530864203,11.864197530864203,0.0
case5_exchange_loss,10.53,11.863333333333337,11.864197530864203,-0.0008641975308663064
case5_exchange_loss,10.75,11.811728395061735,11.864197530864203,-0.05246913580246826
case5_exchange_loss,11.0,11.753086419753089,11.864197530864203,-0.11111111111111427
case6_synced_defect_rate,5.0,21.6786703601108,21.328765126111676,-0.34990523399912377
case6_synced_defect_rate,5.5,20.971428334436084,20.817383220843368,-0.15404511359271567
case6_synced_defect_rate,5.800000000000001,20.539847503296357,20.506350548825104,-0.03349695447125356
case6_synced_defect_rate,5.8823529410849025,20.420410156349533,20.420410156354386,4.853006885241484e-12
case6_synced_defect_rate,5.88,20.42382845457194,20.422868956223624,-0.0009594983483154351
case6_synced_defect_rate,5.8999999999999995,20.394762019512797,20.40196284656235,0.007200827049551606
case6_synced_defect_rate,6.0,20.249058493782684,20.297217379578704,0.048158885796020456
case6_synced_defect_rate,6.5,19.511154188056253,19.76806623070121,0.2569120426449558
case6_synced_defect_rate,5.0,21.6786703601108,21.328765126111676,-0.34990523399912377
case6_synced_defect_rate,5.5,20.971428334436084,20.817383220843368,-0.15404511359271567
case6_synced_defect_rate,5.800000000000001,20.539847503296357,20.506350548825104,-0.03349695447125356
case6_synced_defect_rate,5.8823529410849025,20.420410156349533,20.420410156354386,4.853006885241484e-12
case6_synced_defect_rate,5.88,20.42382845457194,20.422868956223624,-0.0009594983483154351
case6_synced_defect_rate,5.8999999999999995,20.394762019512797,20.40196284656235,0.007200827049551606
case6_synced_defect_rate,6.0,20.249058493782684,20.297217379578704,0.048158885796020456
case6_synced_defect_rate,6.5,19.511154188056253,19.76806623070121,0.2569120426449558
