p,accept_prob,reject_prob,inconclusive_prob
0.0,1.0,0.0,0.0
0.001,0.9999999999999997,5.15785284572389e-82,3.3306690738754696e-16
0.002,0.9999999999999993,5.299098811520578e-68,6.661338147750939e-16
0.003,0.9999999999999991,7.306334342744314e-60,8.881784197001252e-16
0.004,0.9999999999999989,3.971126088900281e-54,1.1102230246251565e-15
0.005,0.9999999999999983,1.0391136898575844e-49,1.6653345369377348e-15
0.006,0.9999999999999981,3.990669657880144e-46,1.887379141862766e-15
0.007,0.9999999999999978,4.076566422450231e-43,2.220446049250313e-15
0.008,0.9999999999999974,1.5796150630859906e-40,2.55351295663786e-15
0.009,0.9999999999999964,2.9190450007034327e-38,3.552713678800501e-15
0.01,0.9999999999999971,3.0078050609302445e-36,2.886579864025407e-15
0.011,0.999999999999996,1.9319627276249164e-34,3.9968028886505635e-15
0.012,0.9999999999999956,8.399242716110022e-33,4.440892098500626e-15
0.013,0.9999999999999917,2.631022038527731e-31,8.326672684688674e-15
0.014,0.9999999999999695,6.233851777557675e-30,3.05311331771918e-14
0.015,0.9999999999998479,1.1610917188353368e-28,1.5210055437364632e-13
0.016,0.9999999999992639,1.753646188854187e-27,7.360778653264771e-13
0.017,0.9999999999967542,2.203000618589751e-26,3.2458480347940854e-12
0.018,0.9999999999870546,2.350838936153379e-25,1.2945422511734014e-11
0.019,0.9999999999529126,2.1688110767686338e-24,4.708744505421474e-11
0.02,0.9999999998423889,1.7558498439694002e-23,1.5761114635635586e-10
0.021,0.9999999995106377,1.2634193741108243e-22,4.893623284373107e-10
0.022,0.9999999985807976,8.168795866122174e-22,1.4192024222473168e-09
0.023,0.9999999961322658,4.7911551606871794e-21,3.867734243984882e-09
0.024,0.9999999900422216,2.570330787073489e-20,9.957778379617697e-09
0.025,0.999999975668035,1.2704538509318451e-19,2.433196499827602e-08
0.026,0.9999999433396343,5.822816364049065e-19,5.666036573201475e-08
0.027,0.9999998738037132,2.488740733954686e-18,1.2619628675132149e-07
0.028,0.9999997302977163,9.970049224387527e-18,2.6970228371838686e-07
0.029,0.9999994453082707,3.760566394833856e-17,5.54691729288823e-07
0.03,0.9999988992762275,1.3409564449591526e-16,1.1007237723284128e-06
0.031,0.9999978875603461,4.537063384722733e-16,2.1124396534137197e-06
0.032,0.9999960709046817,1.461421024590437e-15,3.929095316860997e-06
0.033,0.999992903547976,4.494948225960536e-15,7.096452019518596e-06
0.034,0.9999875320820817,1.323775144162208e-14,1.246791790507517e-05
0.035,0.9999786573629619,3.742240669846172e-14,2.1342637000701817e-05
0.036,0.9999643513813373,1.017824860346769e-13,3.564861856089339e-05
0.037,0.9999418212031246,2.669022963918436e-13,5.817879660851653e-05
0.038,0.9999071130755047,6.760992694665676e-13,9.288692381917309e-05
0.039,0.999854751713416,1.6573835395978578e-12,0.00014524828492663746
0.04,0.9997773127234907,3.938280298679607e-12,0.00022268727257103432
0.041,0.9996649300956862,9.084999067175853e-12,0.0003350698952287571
0.042,0.9995047456025921,2.037480741192416e-11,0.000495254377033133
0.043,0.999280312588079,4.44820500254318e-11,0.0007196873674389162
0.044,0.9989709726876738,9.465239767430033e-11,0.0010290272176738384
0.045,0.9985512300955416,1.9653097747395658e-10,0.001448769707927436
0.046,0.9979901536031898,3.9860918094660145e-10,0.0020098459982010523
0.047,0.9972508412765814,7.90523710867764e-10,0.0027491579328949214
0.048,0.9962899858178855,1.534408119061987e-09,0.0037100126477063546
0.049,0.9950575799387272,2.91747548831642e-09,0.004942417143797279
0.05,0.993496800118421,5.43842029329249e-09,0.0065031944431586984
0.051,0.9915441037361632,9.946612146325685e-09,0.008455886317224657
