stage_n,accept_if_defects_le,reject_if_defects_ge,continue_defects_from,continue_defects_to
1,,,0,1
2,,,0,2
3,,,0,3
4,,,0,4
5,,,0,5
6,,,0,6
7,,,0,7
8,,,0,8
9,,,0,9
10,,,0,10
11,,,0,11
12,,,0,12
13,,,0,13
14,,,0,14
15,,,0,15
16,,,0,16
17,,,0,17
18,,,0,18
19,,,0,19
20,,,0,20
21,,,0,21
22,,,0,22
23,,,0,23
24,,,0,24
25,,,0,25
26,,,0,26
27,,,0,27
28,,,0,28
29,,,0,29
30,,,0,30
31,,,0,31
32,,,0,32
33,,,0,33
34,,,0,34
35,,,0,35
36,,,0,36
37,,,0,37
38,,,0,38
39,,,0,39
40,,,0,40
41,,,0,41
42,,,0,42
43,,,0,43
44,,,0,44
45,,,0,45
46,,,0,46
47,,,0,47
48,,,0,48
49,,,0,49
50,,,0,50
51,,,0,51
52,,,0,52
53,,,0,53
54,,,0,54
55,,,0,55
56,,,0,56
57,,,0,57
58,,,0,58
59,,,0,59
60,,,0,60
61,,,0,61
62,,,0,62
63,,,0,63
64,,,0,64
65,,,0,65
66,,,0,66
67,,,0,67
68,,,0,68
69,,,0,69
70,,,0,70
71,,,0,71
72,,,0,72
73,,,0,73
74,,,0,74
75,,,0,75
76,,,0,76
77,,,0,77
78,,,0,78
79,,,0,79
80,,,0,80
81,,,0,81
82,,,0,82
83,,,0,83
84,,,0,84
85,,,0,85
86,,,0,86
87,,,0,87
88,,,0,88
89,,,0,89
90,,,0,90
91,,,0,91
92,,,0,92
93,,,0,93
94,,,0,94
95,,,0,95
96,,,0,96
97,,,0,97
98,,,0,98
99,,,0,99
100,,,0,100
101,,,0,101
102,,,0,102
103,,,0,103
104,,,0,104
105,,,0,105
106,,,0,106
107,,,0,107
108,,,0,108
109,,,0,109
110,,,0,110
111,,,0,111
112,,,0,112
113,,,0,113
114,,,0,114
115,,,0,115
116,,,0,116
117,,,0,117
118,,,0,118
119,,,0,119
120,,,0,120
121,,,0,121
122,,,0,122
123,,,0,123
124,,,0,124
125,,,0,125
126,,,0,126
127,,,0,127
128,,,0,128
129,,,0,129
130,,,0,130
131,,,0,131
132,,,0,132
133,,,0,133
134,,,0,134
135,,,0,135
136,,,0,136
137,,,0,137
138,,,0,138
139,,,0,139
140,,,0,140
141,,,0,141
142,,,0,142
143,,,0,143
144,,,0,144
145,,,0,145
146,,,0,146
147,,,0,147
148,,,0,148
149,,,0,149
150,,,0,150
151,,,0,151
152,,,0,152
153,,,0,153
154,,,0,154
155,,,0,155
156,,,0,156
157,,,0,157
158,,,0,158
159,,,0,159
160,,,0,160
161,,,0,161
162,,,0,162
163,,,0,163
164,,,0,164
165,,,0,165
166,,,0,166
167,,,0,167
168,,,0,168
169,,,0,169
170,,,0,170
171,,,0,171
172,,,0,172
173,,,0,173
174,,,0,174
175,,,0,175
176,,,0,176
177,,,0,177
178,,,0,178
179,,,0,179
180,,32,0,31
181,,32,0,31
182,,32,0,31
183,,33,0,32
184,,33,0,32
185,,33,0,32
186,,33,0,32
187,,33,0,32
188,,33,0,32
189,,33,0,32
190,,33,0,32
191,,34,0,33
192,,34,0,33
193,,34,0,33
194,,34,0,33
195,,34,0,33
196,,34,0,33
197,,34,0,33
198,,34,0,33
199,,35,0,34
200,,35,0,34
201,,35,0,34
202,,35,0,34
203,,35,0,34
204,,35,0,34
205,,35,0,34
206,,35,0,34
207,,36,0,35
208,,36,0,35
209,,36,0,35
210,,36,0,35
211,,36,0,35
212,,36,0,35
213,,36,0,35
214,,36,0,35
215,,37,0,36
216,,37,0,36
217,,37,0,36
218,,37,0,36
219,,37,0,36
220,,37,0,36
221,,37,0,36
222,,37,0,36
223,,38,0,37
224,,38,0,37
225,,38,0,37
226,,38,0,37
227,,38,0,37
228,,38,0,37
229,,38,0,37
230,,38,0,37
231,,39,0,38
232,,39,0,38
233,,39,0,38
234,,39,0,38
235,,39,0,38
236,,39,0,38
237,,39,0,38
238,,39,0,38
239,,40,0,39
240,,40,0,39
241,,40,0,39
242,,40,0,39
243,,40,0,39
244,,40,0,39
245,,40,0,39
246,,40,0,39
247,,41,0,40
248,,41,0,40
249,,41,0,40
250,,41,0,40
251,,41,0,40
252,,41,0,40
253,,41,0,40
254,,41,0,40
255,,42,0,41
256,,42,0,41
257,,42,0,41
258,,42,0,41
259,,42,0,41
260,,42,0,41
261,,42,0,41
262,,42,0,41
263,,43,0,42
264,,43,0,42
265,,43,0,42
266,,43,0,42
267,,43,0,42
268,,43,0,42
269,,43,0,42
270,,43,0,42
271,,43,0,42
272,,44,0,43
273,,44,0,43
274,,44,0,43
275,,44,0,43
276,,44,0,43
277,,44,0,43
278,,44,0,43
279,,44,0,43
280,,45,0,44
281,,45,0,44
282,,45,0,44
283,,45,0,44
284,,45,0,44
285,,45,0,44
286,,45,0,44
287,,45,0,44
288,,46,0,45
289,,46,0,45
290,,46,0,45
291,,46,0,45
292,,46,0,45
293,,46,0,45
294,,46,0,45
295,,46,0,45
296,,47,0,46
297,,47,0,46
298,,47,0,46
299,,47,0,46
300,,47,0,46
301,,47,0,46
302,,47,0,46
303,,47,0,46
304,,48,0,47
305,,48,0,47
306,,48,0,47
307,,48,0,47
308,,48,0,47
309,,48,0,47
310,,48,0,47
311,,48,0,47
312,,49,0,48
313,,49,0,48
314,,49,0,48
315,,49,0,48
316,,49,0,48
317,,49,0,48
318,,49,0,48
319,,49,0,48
320,,50,0,49
321,,50,0,49
322,,50,0,49
323,,50,0,49
324,,50,0,49
325,,50,0,49
326,,50,0,49
327,,50,0,49
328,,51,0,50
329,,51,0,50
330,,51,0,50
331,,51,0,50
332,,51,0,50
333,,51,0,50
334,,51,0,50
335,,51,0,50
336,,52,0,51
337,,52,0,51
338,,52,0,51
339,,52,0,51
340,,52,0,51
341,,52,0,51
342,,52,0,51
343,,52,0,51
344,,53,0,52
345,,53,0,52
346,,53,0,52
347,,53,0,52
348,,53,0,52
349,,53,0,52
350,,53,0,52
351,,53,0,52
352,,54,0,53
353,,54,0,53
354,,54,0,53
355,,54,0,53
356,,54,0,53
357,,54,0,53
358,,54,0,53
359,,54,0,53
360,,54,0,53
361,,55,0,54
362,,55,0,54
363,,55,0,54
364,,55,0,54
365,,55,0,54
366,,55,0,54
367,,55,0,54
368,29,47,30,46
