p,accept_prob,reject_prob,undecided_prob,asn,fixed_n,asn_reduction,asn_reduction_rate,probability_sum_error
0.0,1.0,0.0,0.0,368.0,368,0.0,0.0,0.0
0.01,0.9999999999999969,1.1224657171212938e-29,3.974318141959148e-18,367.99999999999886,368,1.1368683772161603e-12,3.089316242435218e-15,3.1086244689504383e-15
0.02,0.9999999998423874,1.2266607480200912e-20,1.5760550294563211e-10,367.9999999999974,368,2.6147972675971687e-12,7.105427357601002e-15,7.105427357601002e-15
0.03,0.9999988992762273,1.473568669179806e-15,1.1007237615364076e-06,367.99999999999613,368,3.865352482534945e-12,1.0503675224279741e-14,9.658940314238862e-15
0.04,0.9997773127234891,7.267132825759262e-12,0.00022268726923055612,367.9999999993803,368,6.19706952420529e-10,1.6839862837514374e-12,1.3100631690576847e-14
0.05,0.9934968001184208,6.42423837169067e-09,0.006503193457324819,367.9999998056313,368,1.943686811500811e-07,5.281757639947856e-10,1.5987211554602254e-14
0.06,0.9434154472214039,1.148154526015707e-06,0.05658340462404901,367.99998337324877,368,1.6626751232706738e-05,4.5181389219311786e-08,2.1094237467877974e-14
0.07,0.7813072248998975,5.747597425603408e-05,0.21863529912582647,367.9994255493773,368,0.0005744506227074453,1.5610071269224057e-06,2.0095036745715333e-14
0.08,0.5153675159075317,0.0010948722516221075,0.4835376118408613,367.9899050647524,368,0.01009493524759364,2.7431889259765324e-05,1.509903313490213e-14
0.09,0.25940983576566745,0.00990589917000144,0.7306842650643417,367.89620854313023,368,0.10379145686977154,0.0002820420023635096,1.0658141036401503e-14
0.1,0.09939442989639073,0.049950058709715826,0.8506555113939036,367.3160821865363,368,0.6839178134637223,0.0018584723191948974,1.021405182655144e-14
0.11,0.02946557316555436,0.15839863606817273,0.8121357907662777,364.91409342416944,368,3.0859065758305633,0.008385615695191749,4.884981308350689e-15
0.12,0.006906722859162398,0.34804912317918074,0.6450441539616579,357.9359034131068,368,10.064096586893186,0.027348088551340178,1.1102230246251565e-15
0.13,0.0013077746928602963,0.5757786421944008,0.422913583112739,343.110748866613,368,24.889251133387006,0.06763383460159512,0.0
0.14,0.0002038993263934489,0.7727813269897259,0.22701477368388098,319.1989904911452,368,48.801009508854804,0.13261143888275762,2.220446049250313e-16
0.15,2.6611703213631002e-05,0.9003309986126603,0.09964238968411832,288.87713000094686,368,79.12286999905314,0.21500779891047048,7.771561172376096e-15
0.16,2.9481529686724e-06,0.9640672819032194,0.03592976994380484,257.6274205788393,368,110.37257942116071,0.2999254875575019,7.105427357601002e-15
0.17,2.804941101736312e-07,0.9892713308647305,0.010728388641152277,230.60863781509258,368,137.39136218490742,0.3733460928937702,6.994405055138486e-15
0.18,2.314428024850761e-08,0.9973228877323635,0.002677089123367897,210.41423582219858,368,157.58576417780142,0.4282221852657647,1.176836406102666e-14
0.19,1.6698000993074058e-09,0.9994365729382767,0.0005634253919344606,197.0074682107667,368,170.9925317892333,0.4646536189924818,1.1324274851176597e-14
0.2,1.0606137556261896e-10,0.9998991171214808,0.00010088277246778325,188.92006533243315,368,179.07993466756685,0.486630257248823,9.992007221626409e-15
0.21,5.964883674040136e-12,0.9999845110029244,1.548899111576598e-05,184.4113709471807,368,183.5886290528193,0.4988821441652698,5.10702591327572e-15
0.22,2.9844423509045035e-13,0.9999979464835966,2.0535161103841173e-06,182.0628298369016,368,185.9371701630984,0.5052640493562456,5.551115123125783e-15
0.23,1.3336801091415492e-14,0.9999997634540597,2.3654593247135927e-07,180.91302815891953,368,187.08697184108047,0.5083885104377187,5.551115123125783e-15
0.24,5.340410369326469e-16,0.9999999761986729,2.3801326769396e-08,180.38255735787223,368,187.61744264212777,0.5098300071796951,2.220446049250313e-16
0.25,1.9212180057775653e-17,0.9999999978983415,2.101657697949483e-09,180.15171720658068,368,187.84828279341932,0.510457290199509,7.771561172376096e-16
0.26,6.222617637299421e-19,0.9999999998365012,1.634990194439472e-10,180.05694238282908,368,187.94305761717092,0.5107148304814427,2.220446049250313e-16
0.27,1.8175132575522737e-20,0.9999999999887563,1.124388228479821e-11,180.0202245477132,368,187.9797754522868,0.5108146072073011,2.220446049250313e-16
0.28,4.7931852854951665e-22,0.9999999999993149,6.854642664587659e-13,180.00679807418945,368,187.99320192581055,0.5108510921897026,4.440892098500626e-16
0.29,1.1423157482362968e-23,0.999999999999953,3.713012908052369e-14,180.00216274017228,368,187.99783725982772,0.5108636882060535,9.880984919163893e-15
0.3,2.4614481216936992e-25,0.9999999999999877,1.79041124357895e-15,180.00065131430486,368,187.99934868569514,0.5108677953415629,1.0547118733938987e-14
