p,scheme,accept_prob,reject_prob,undecided_prob,asn,asn_reduction_rate_vs_fixed,asn_improvement_vs_one_sided
0.05,fixed_368,0.9934968001184208,5.438420293292499e-09,0.006503194443142898,367.9999999999941,1.6064444460663133e-14,
0.05,one_sided_early_reject,0.9934968001184208,6.424238371690669e-09,0.006503193457324819,367.9999998056314,5.281756095289735e-10,0.0
0.05,two_sided_early_accept_reject,0.9935324883199433,6.5783649319899445e-09,0.006467505101680531,262.670367007091,0.28622182878507885,105.32963279854039
0.08,fixed_368,0.5153675159075317,0.001076758852074689,0.48355572524040863,368.00000000000557,-1.513764958793257e-14,
0.08,one_sided_early_reject,0.5153675159075317,0.0010948722516221077,0.4835376118408613,367.9899050647524,2.7431889259765324e-05,0.0
0.08,two_sided_early_accept_reject,0.5164634155628657,0.0010975642377086365,0.48243902019944,350.9969421762361,0.04620396147761936,16.99296288851633
0.1,fixed_368,0.09939442989639073,0.04964485262693778,0.850960717476682,368.00000000000387,-1.0503675224279741e-14,
0.1,one_sided_early_reject,0.09939442989639073,0.049950058709715826,0.8506555113939036,367.3160821865363,0.0018584723191948974,0.0
0.1,two_sided_early_accept_reject,0.09999808967444206,0.04999503715313354,0.8500068731724352,365.60002094184256,0.006521682223253917,1.7160612446937193
0.12,fixed_368,0.006906722859162398,0.34726589248272915,0.6458273846581095,368.00000000000045,-1.2357264969740872e-15,
0.12,one_sided_early_reject,0.006906722859162398,0.3480491231791808,0.6450441539616579,357.93590341310687,0.027348088551340025,0.0
0.12,two_sided_early_accept_reject,0.006991712125877129,0.34816411935045455,0.6448441685236694,357.2830920497751,0.02912203247343717,0.6528113633317503
0.15,fixed_368,2.6611703213631002e-05,0.9000671838547064,0.0999062044420695,367.99999999999636,9.885811975792698e-15,
0.15,one_sided_early_reject,2.6611703213631002e-05,0.9003309986126602,0.09964238968411832,288.8771300009469,0.21500779891047034,0.0
0.15,two_sided_early_accept_reject,2.7380631162961165e-05,0.9003696289622114,0.09960299040661738,286.9650272426837,0.22020373031879437,1.912102758263245
0.2,fixed_368,1.0606137556261896e-10,0.9998987004841802,0.00010129940977986905,368.00000000000784,-2.1316282072803006e-14,
0.2,one_sided_early_reject,1.0606137556261896e-10,0.9998991171214808,0.00010088277246778325,188.92006533243327,0.48663025724882264,0.0
0.2,two_sided_early_accept_reject,1.1988196365088964e-10,0.9998991780080128,0.00010082187211517983,188.54103099731873,0.48766024185511214,0.37903433511453954
