p,p_percent,fixed_368_asn,one_sided_asn,two_sided_asn,two_sided_improvement_vs_one_sided
0.0,0.0,368,368.0,157.0,211.0
0.01,1.0,368,367.9999999999989,170.65737132633424,197.34262867366468
0.02,2.0,368,367.9999999999974,187.0441916338798,180.9558083661176
0.03,3.0,368,367.9999999999963,207.12983618377754,160.87016381621876
0.04,4.0,368,367.99999999938046,231.9838686610641,136.01613133831637
0.05,5.0,368,367.9999998056314,262.670367007091,105.32963279854039
0.06,6.0,368,367.99998337324865,297.42740987107237,70.57257350217628
0.07,7.000000000000001,368,367.9994255493773,329.2158545418654,38.78357100751191
0.08,8.0,368,367.9899050647524,350.9969421762361,16.99296288851633
0.09,9.0,368,367.8962085431302,361.96923102231506,5.9269775208151145
0.1,10.0,368,367.3160821865363,365.60002094184256,1.7160612446937193
0.11,11.0,368,364.91409342416944,364.31296451198017,0.6011289121892673
0.12,12.0,368,357.93590341310687,357.2830920497751,0.6528113633317503
0.13,13.0,368,343.11074886661305,341.9823646598032,1.1283842068098693
0.14,14.000000000000002,368,319.1989904911453,317.5559631092301,1.6430273819152035
0.15,15.0,368,288.8771300009469,286.9650272426837,1.912102758263245
0.16,16.0,368,257.6274205788393,255.8009328764138,1.8264877024254815
0.17,17.0,368,230.60863781509258,229.13088586064637,1.4777519544462052
0.18,18.0,368,210.4142358221986,209.37155196124894,1.0426838609496656
0.19,19.0,368,197.00746821076677,196.3494142047087,0.6580540060580802
0.2,20.0,368,188.92006533243327,188.54103099731873,0.37903433511453954
0.21,21.0,368,184.41137094718064,184.20922291663237,0.20214803054827257
0.22,22.0,368,182.06282983690159,181.9620843422467,0.10074549465488758
0.23,23.0,368,180.9130281589196,180.86586359831966,0.04716456059992424
0.24,24.0,368,180.38255735787223,180.3617598245139,0.020797533358319242
0.25,25.0,368,180.1517172065807,180.14306791347002,0.00864929311069318
0.26,26.0,368,180.05694238282905,180.05354777472982,0.0033946080992279803
0.27,27.0,368,180.02022454771318,180.01896686907196,0.0012576786412239471
0.28,28.000000000000004,368,180.00679807418945,180.00635813289705,0.0004399412923987711
0.29,28.999999999999996,368,180.00216274017214,180.00201742205985,0.00014531811228835068
0.3,30.0,368,180.0006513143049,180.00060598316276,4.533114213245426e-05
