stage_n,log_lr_accept,log_lr_reject,accept_if_defects_le,reject_if_defects_ge,continue_defects_from,continue_defects_to
1,-8.94,4.32,,,0,1
2,-8.94,4.32,,,0,2
3,-8.94,4.32,,,0,3
4,-8.94,4.32,,,0,4
5,-8.94,4.32,,,0,5
6,-8.94,4.32,,,0,6
7,-8.94,4.32,,,0,7
8,-8.94,4.32,,,0,8
9,-8.94,4.32,,,0,9
10,-8.94,4.32,,,0,10
11,-8.94,4.32,,,0,11
12,-8.94,4.32,,,0,12
13,-8.94,4.32,,,0,13
14,-8.94,4.32,,,0,14
15,-8.94,4.32,,,0,15
16,-8.94,4.32,,,0,16
17,-8.94,4.32,,,0,17
18,-8.94,4.32,,,0,18
19,-8.94,4.32,,,0,19
20,-8.94,4.32,,,0,20
21,-8.94,4.32,,,0,21
22,-8.94,4.32,,,0,22
23,-8.94,4.32,,,0,23
24,-8.94,4.32,,,0,24
25,-8.94,4.32,,,0,25
26,-8.94,4.32,,,0,26
27,-8.94,4.32,,,0,27
28,-8.94,4.32,,,0,28
29,-8.94,4.32,,,0,29
30,-8.94,4.32,,,0,30
31,-8.94,4.32,,,0,31
32,-8.94,4.32,,,0,32
33,-8.94,4.32,,,0,33
34,-8.94,4.32,,,0,34
35,-8.94,4.32,,,0,35
36,-8.94,4.32,,,0,36
37,-8.94,4.32,,,0,37
38,-8.94,4.32,,,0,38
39,-8.94,4.32,,,0,39
40,-8.94,4.32,,,0,40
41,-8.94,4.32,,,0,41
42,-8.94,4.32,,,0,42
43,-8.94,4.32,,,0,43
44,-8.94,4.32,,,0,44
45,-8.94,4.32,,,0,45
46,-8.94,4.32,,,0,46
47,-8.94,4.32,,,0,47
48,-8.94,4.32,,,0,48
49,-8.94,4.32,,,0,49
50,-8.94,4.32,,,0,50
51,-8.94,4.32,,,0,51
52,-8.94,4.32,,,0,52
53,-8.94,4.32,,,0,53
54,-8.94,4.32,,,0,54
55,-8.94,4.32,,,0,55
56,-8.94,4.32,,,0,56
57,-8.94,4.32,,,0,57
58,-8.94,4.32,,,0,58
59,-8.94,4.32,,,0,59
60,-8.94,4.32,,,0,60
61,-8.94,4.32,,,0,61
62,-8.94,4.32,,,0,62
63,-8.94,4.32,,,0,63
64,-8.94,4.32,,,0,64
65,-8.94,4.32,,,0,65
66,-8.94,4.32,,,0,66
67,-8.94,4.32,,,0,67
68,-8.94,4.32,,,0,68
69,-8.94,4.32,,,0,69
70,-8.94,4.32,,,0,70
71,-8.94,4.32,,,0,71
72,-8.94,4.32,,,0,72
73,-8.94,4.32,,,0,73
74,-8.94,4.32,,,0,74
75,-8.94,4.32,,,0,75
76,-8.94,4.32,,,0,76
77,-8.94,4.32,,,0,77
78,-8.94,4.32,,,0,78
79,-8.94,4.32,,,0,79
80,-8.94,4.32,,,0,80
81,-8.94,4.32,,,0,81
82,-8.94,4.32,,,0,82
83,-8.94,4.32,,,0,83
84,-8.94,4.32,,,0,84
85,-8.94,4.32,,,0,85
86,-8.94,4.32,,,0,86
87,-8.94,4.32,,,0,87
88,-8.94,4.32,,,0,88
89,-8.94,4.32,,,0,89
90,-8.94,4.32,,,0,90
91,-8.94,4.32,,,0,91
92,-8.94,4.32,,,0,92
93,-8.94,4.32,,,0,93
94,-8.94,4.32,,,0,94
95,-8.94,4.32,,,0,95
96,-8.94,4.32,,,0,96
97,-8.94,4.32,,,0,97
98,-8.94,4.32,,,0,98
99,-8.94,4.32,,,0,99
100,-8.94,4.32,,,0,100
101,-8.94,4.32,,,0,101
102,-8.94,4.32,,,0,102
103,-8.94,4.32,,,0,103
104,-8.94,4.32,,,0,104
105,-8.94,4.32,,,0,105
106,-8.94,4.32,,,0,106
107,-8.94,4.32,,,0,107
108,-8.94,4.32,,,0,108
109,-8.94,4.32,,,0,109
110,-8.94,4.32,,,0,110
111,-8.94,4.32,,,0,111
