stage_n,accept_if_defects_le,reject_if_defects_ge
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,0,
158,0,
159,0,
160,0,
161,0,
162,0,
163,0,
164,0,
165,1,
166,1,
167,1,
168,1,
169,1,
170,1,
171,1,
172,1,
173,2,
174,2,
175,2,
176,2,
177,2,
178,2,
179,2,
180,2,32
181,3,32
182,3,32
183,3,32
184,3,33
185,3,33
186,3,33
187,3,33
188,3,33
189,4,33
190,4,33
191,4,33
192,4,34
193,4,34
194,4,34
195,4,34
196,4,34
197,5,34
198,5,34
199,5,34
200,5,35
201,5,35
202,5,35
203,5,35
204,5,35
205,6,35
206,6,35
207,6,35
208,6,36
209,6,36
210,6,36
211,6,36
212,6,36
213,6,36
214,7,36
215,7,36
216,7,37
217,7,37
218,7,37
219,7,37
220,7,37
221,7,37
222,8,37
223,8,37
224,8,38
225,8,38
226,8,38
227,8,38
228,8,38
229,8,38
230,9,38
231,9,38
232,9,39
233,9,39
234,9,39
235,9,39
236,9,39
237,9,39
238,10,39
239,10,39
240,10,39
241,10,40
242,10,40
243,10,40
244,10,40
245,10,40
246,11,40
247,11,40
248,11,40
249,11,41
250,11,41
251,11,41
252,11,41
253,11,41
254,12,41
255,12,41
256,12,41
257,12,42
258,12,42
259,12,42
260,12,42
261,12,42
262,13,42
263,13,42
264,13,42
265,13,43
266,13,43
267,13,43
268,13,43
269,13,43
270,14,43
271,14,43
272,14,43
273,14,44
274,14,44
275,14,44
276,14,44
277,14,44
278,15,44
279,15,44
280,15,44
281,15,45
282,15,45
283,15,45
284,15,45
285,15,45
286,16,45
287,16,45
288,16,45
289,16,46
290,16,46
291,16,46
292,16,46
293,16,46
294,16,46
295,17,46
296,17,46
297,17,47
298,17,47
299,17,47
300,17,47
301,17,47
302,17,47
303,18,47
304,18,47
305,18,48
306,18,48
307,18,48
308,18,48
309,18,48
310,18,48
311,19,48
312,19,48
313,19,49
314,19,49
315,19,49
316,19,49
317,19,49
318,19,49
319,20,49
320,20,49
321,20,49
322,20,50
323,20,50
324,20,50
325,20,50
326,20,50
327,21,50
328,21,50
329,21,50
330,21,51
331,21,51
332,21,51
333,21,51
334,21,51
335,22,51
336,22,51
337,22,51
338,22,52
339,22,52
340,22,52
341,22,52
342,22,52
343,23,52
344,23,52
345,23,52
346,23,53
347,23,53
348,23,53
349,23,53
350,23,53
351,24,53
352,24,53
353,24,53
354,24,54
355,24,54
356,24,54
357,24,54
358,24,54
359,25,54
360,25,54
361,25,54
362,25,55
363,25,55
364,25,55
365,25,55
366,25,55
367,26,55
368,29,47
