log_lr_accept,log_lr_reject,score,asn_p05,asn_p08,asn_p10,asn_p15,asn_p20,p0_accept_prob,p0_reject_prob,pbad_reject_prob,p0_accept_prob_le_0.10,p0_reject_prob_le_0.05,pbad_reject_prob_ge_0.90
-8.94,4.32,317.3302190650817,262.670367007091,350.9969421762361,365.60002094184256,286.9650272426837,188.54103099731873,0.09999808967444206,0.04999503715313354,0.9003696289622114,True,True,True
-8.94,4.34,317.3681829046562,262.6703670082014,350.99709364228346,365.61006849255125,287.3190923596285,188.58390305826936,0.09999808967444206,0.04999009364357083,0.9003647211913145,True,True,True
-8.94,4.36,317.4363455115879,262.6703670288818,350.9976135182252,365.63151048981587,287.9455537355775,188.7606810082328,0.09999808967444206,0.04996845085548118,0.9003476807014382,True,True,True
-8.94,4.38,317.4932534665008,262.6703670347274,350.99793855199755,365.64805891655493,288.472287096082,188.86693880149824,0.09999808967444206,0.0499551804900054,0.9003361623679074,True,True,True
-8.94,4.4,317.53650929759146,262.6703670358568,350.9981027386366,365.6590322489157,288.8769195122163,188.92006533080686,0.09999808967444206,0.04995005869959668,0.9003309985856286,True,True,True
-8.96,4.32,317.58895451247764,263.17092402865995,351.24343591125705,365.63838718565944,286.96503532654685,188.54103099740428,0.09997461558914561,0.0499950371539556,0.900369628964516,True,True,True
-8.94,4.42,317.61007062055904,262.67036705611736,350.9986424289124,365.68140070350756,289.5549924636739,189.13061587135013,0.09999808967444206,0.04992754522285498,0.9003132425288891,True,True,True
-8.96,4.34,317.6269183520522,263.1709240297704,351.24358737730444,365.64843473636813,287.31910044349183,188.58390305835496,0.09997461558914561,0.0499900936443929,0.9003647211936194,True,True,True
-8.94,4.44,317.6593642588982,262.6703670595756,350.99889097669416,365.69489255235544,290.01345356949696,189.22264264055042,0.09999808967444206,0.049917799009306076,0.9003044298878601,True,True,True
-8.96,4.36,317.69508095898385,263.1709240504507,351.24410725324617,365.6698767336328,287.94556181944097,188.76068100831847,0.09997461558914561,0.04996845085630325,0.9003476807037432,True,True,True
-8.94,4.46,317.7092920280039,262.6703670684015,350.9991523270088,365.7079516276345,290.4792994905215,189.33460156537484,0.09999808967444206,0.049908074040857925,0.900296356466544,True,True,True
-8.96,4.38,317.7519889138968,263.1709240562963,351.2444322870185,365.68642516037187,288.47229517994555,188.8669388015838,0.09997461558914561,0.049955180490827464,0.9003361623702123,True,True,True
-8.94,4.48,317.7769728238533,262.6703670792862,350.9995575165607,365.7268332966856,291.1076876696357,189.51084615060842,0.09999808967444206,0.04989192864031892,0.9002830198611785,True,True,True
-8.96,4.4,317.79524474498743,263.1709240574257,351.2445964736577,365.6973984927326,288.87692759607984,188.92006533089244,0.09997461558914561,0.049950058700418735,0.9003309985879344,True,True,True
-8.94,4.5,317.8209573512996,262.670367081109,350.9997297265588,365.7375748037494,291.5201625400644,189.58302700304938,0.09999808967444206,0.04988608903372609,0.9002775963633044,True,True,True
-8.96,4.42,317.86880606795506,263.17092407768627,351.24513616393335,365.71976694732456,289.55500054753725,189.1306158714357,0.09997461558914561,0.04992754522367703,0.9003132425311935,True,True,True
-8.98,4.32,317.8775310652993,263.7489178527523,351.4989656791441,365.6768628052358,286.9650441178387,188.54103099750236,0.09993522464212144,0.049995037154733746,0.9003696289665198,True,True,True
-8.98,4.34,317.9154949048739,263.74891785386274,351.49911714519146,365.6869103559446,287.31910923478364,188.5839030584532,0.09993522464212144,0.04999009364517103,0.9003647211956226,True,True,True
-8.96,4.44,317.91809970629424,263.17092408114456,351.24538471171513,365.7332587961723,290.0134616533602,189.22264264063597,0.09997461558914561,0.049917799010128126,0.9003044298901641,True,True,True
-8.94,4.52,317.94060077938457,262.6703671222671,351.00061883407875,365.77192784264685,292.6280467570573,190.04790042899776,0.09999808967444206,0.049848767281024206,0.900248792124111,True,True,True
-8.96,4.46,317.96802747539994,263.1709240899704,351.2456460620299,365.7463178714513,290.47930757438496,189.3346015654604,0.09997461558914561,0.04990807404167997,0.9002963564688486,True,True,True
-8.98,4.36,317.9836575118056,263.74891787454305,351.49963702113325,365.7083523532092,287.9455706107327,188.7606810084167,0.09993522464212144,0.0499684508570814,0.9003476807057462,True,True,True
-8.94,4.54,318.0102029395618,262.6703671334099,351.00102262009045,365.79062679833595,293.27610957257184,190.25050775521282,0.09999808967444206,0.04983268127196076,0.9002356183011403,True,True,True
-8.96,4.48,318.0357082712493,263.1709241008552,351.24605125158166,365.7651995405024,291.10769575349894,189.510846150694,0.09997461558914561,0.04989192864114098,0.9002830198634836,True,True,True
-8.98,4.38,318.0405654667185,263.7489178803886,351.49996205490567,365.72490077994826,288.47230397123724,188.86693880168204,0.09993522464212144,0.04995518049160564,0.9003361623722154,True,True,True
-8.94,4.56,318.05737518428396,262.6703671353025,351.00120779843724,365.8019133997674,293.7190599745507,190.33935997858921,0.09999808967444206,0.04982628188397336,0.900229572429272,True,True,True
-8.96,4.5,318.0796927986956,263.170924102678,351.2462234615798,365.7759410475663,291.5201706239279,189.58302700313502,0.09997461558914561,0.049886089034548144,0.90027759636561,True,True,True
-8.98,4.4,318.0838212978091,263.7489178815181,351.5001262415447,365.7358741123089,288.8769363873715,188.92006533099055,0.09993522464212144,0.04995005870119687,0.9003309985899366,True,True,True
-8.94,4.58,318.11084288082486,262.6703671402044,351.00141898419776,365.8141016671923,294.22263269695907,190.4550154282126,0.09999808967444206,0.04981949691326365,0.9002237524609297,True,True,True
-8.98,4.42,318.15738262077673,263.74891790177855,351.5006659318204,365.75824256690095,289.555009338829,189.13061587153382,0.09993522464212144,0.049927545224455194,0.9003132425331966,True,True,True
-8.94,4.6,318.16823036107417,262.6703671461387,351.0017048506858,365.82845239704795,294.7597730545789,190.6166392192383,0.09999808967444206,0.04980843591501735,0.900214331278224,True,True,True
-9.0,4.32,318.16878144139304,264.3595530145728,351.73021635053874,365.70947106448875,286.96505215008733,188.5410309975959,0.0999009458543056,0.04999503715584277,0.9003696289695312,True,True,True
-8.96,4.52,318.19933622678053,263.1709241438361,351.24711256909967,365.81029408646367,292.6280548409208,190.04790042908334,0.09997461558914561,0.049848767281846236,0.9002487921264162,True,True,True
-8.98,4.44,318.20667625911597,263.7489179052369,351.5009144796022,365.7717344157488,290.0134704446519,189.22264264073416,0.09993522464212144,0.04991779901090629,0.9003044298921676,True,True,True
-9.0,4.34,318.20674528096754,264.35955301568316,351.73036781658607,365.7195186151975,287.3191172670322,188.5839030585467,0.0999009458543056,0.04999009364628007,0.9003647211986338,True,True,True
-8.94,4.62,318.2102002765606,262.6703671471346,351.00183262671396,365.83738909826343,295.1567471248345,190.6863186741121,0.09999808967444206,0.049804703706675356,0.9002107103618556,True,True,True
-8.98,4.46,318.25660402822166,263.74891791406276,351.5011758299169,365.7847934910278,290.4793163656767,189.3346015655586,0.09993522464212144,0.04990807404245815,0.9002963564708519,True,True,True
-8.96,4.54,318.26893838695776,263.1709241549788,351.24751635511143,365.82899304215294,293.2761176564352,190.25050775529846,0.09997461558914561,0.04983268127278284,0.9002356183034457,True,True,True
-9.0,4.36,318.27490788789925,264.35955303636354,351.73088769252786,365.740960612462,287.9455786429814,188.7606810085102,0.0999009458543056,0.04996845085819039,0.9003476807087575,True,True,True
-8.96,4.56,318.3161106316799,263.1709241568714,351.2477015334581,365.8402796435843,293.71906805841417,190.33935997867493,0.09997461558914561,0.04982628188479542,0.9002295724315774,True,True,True
-8.98,4.48,318.32428482407107,263.74891792494753,351.50158101946886,365.80367516007885,291.10770454479075,189.51084615079213,0.09993522464212144,0.04989192864191914,0.9002830198654864,True,True,True
-9.0,4.38,318.3318158428121,264.3595530422091,351.7312127263002,365.7575090392011,288.47231200348597,188.8669388017756,0.0999009458543056,0.04995518049271463,0.9003361623752266,True,True,True
-8.98,4.5,318.3682693515173,263.74891792677033,351.50175322946694,365.8144166671428,291.5201794152195,189.58302700323316,0.09993522464212144,0.04988608903532629,0.9002775963676127,True,True,True
-8.96,4.58,318.3695783282209,263.17092416177337,351.2479127192188,365.8524679110091,294.2226407808224,190.45501542829822,0.09997461558914561,0.0498194969140857,0.9002237524632347,True,True,True
-9.0,4.4,318.3750716739027,264.35955304333856,351.73137691293925,365.76848237156173,288.8769444196201,188.92006533108412,0.0999009458543056,0.049950058702305906,0.900330998592948,True,True,True
