strategy_id,strategy,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_s1,test_s2,test_s3,test_final,disassemble_s1,disassemble_s2,disassemble_s3,disassemble_final,feasible,infeasible_reason,expected_cost,expected_profit,single_assembly_good_probability,fulfillment_success_probability,purchase_cost,part_test_cost,assembly_cost,product_test_cost,disassembly_cost,exchange_loss_cost
65520,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s2;disassemble_s3;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,True,,139.77777777777777,60.22222222222223,0.9,1.0,71.11111111111111,12.222222222222223,35.55555555555556,13.333333333333334,3.1111111111111107,4.444444444444444
65518,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,True,,141.9506172839506,58.049382716049394,0.9,1.0,73.58024691358024,12.592592592592593,35.55555555555556,13.333333333333334,2.4444444444444438,4.444444444444444
65536,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;test_final;disassemble_s1;disassemble_s2;disassemble_s3;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,,142.0,58.0,0.9,1.0,71.11111111111111,12.222222222222223,35.55555555555556,20.0,3.1111111111111107,0.0
65262,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,True,,142.19753086419755,57.802469135802454,0.9,1.0,74.67764060356653,10.260631001371742,36.543209876543216,13.827160493827162,2.4444444444444438,4.444444444444444
65512,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s2;disassemble_s3;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,True,,142.320987654321,57.67901234567901,0.9,1.0,73.82716049382717,12.71604938271605,35.55555555555556,13.333333333333334,2.4444444444444438,4.444444444444444
65516,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s3;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,True,,142.320987654321,57.67901234567901,0.9,1.0,73.82716049382717,12.71604938271605,35.55555555555556,13.333333333333334,2.4444444444444438,4.444444444444444
57320,test_p1;test_p2;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s2;disassemble_s3;disassemble_final,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,True,,142.97942386831275,57.02057613168725,0.9,1.0,75.19890260631001,10.521262002743484,36.543209876543216,13.827160493827162,2.4444444444444438,4.444444444444444
64492,test_p1;test_p2;test_p3;test_p4;test_p5;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s3;disassemble_final,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,True,,142.97942386831275,57.02057613168725,0.9,1.0,75.19890260631001,10.521262002743484,36.543209876543216,13.827160493827162,2.4444444444444438,4.444444444444444
64750,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,True,,144.1179698216735,55.88203017832649,0.9,1.0,76.32373113854595,8.88888888888889,37.64060356652949,14.375857338820301,2.4444444444444438,4.444444444444444
65006,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,True,,144.1179698216735,55.88203017832649,0.9,1.0,75.22633744855966,11.632373113854596,36.543209876543216,13.827160493827162,2.4444444444444438,4.444444444444444
65534,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;test_final;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,True,,144.17283950617283,55.827160493827165,0.9,1.0,73.58024691358024,12.592592592592593,35.55555555555556,20.0,2.4444444444444438,0.0
65278,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_s1;test_s2;test_s3;test_final;disassemble_s1;disassemble_s2;disassemble_final,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,True,,144.41975308641977,55.580246913580226,0.9,1.0,74.67764060356653,10.260631001371742,36.543209876543216,20.49382716049383,2.4444444444444438,0.0
65510,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s2;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,True,,144.49382716049382,55.50617283950618,0.9,1.0,76.29629629629629,13.086419753086421,35.55555555555556,13.333333333333334,1.7777777777777775,4.444444444444444
65514,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;disassemble_s1;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,True,,144.49382716049382,55.50617283950618,0.9,1.0,76.29629629629629,13.086419753086421,35.55555555555556,13.333333333333334,1.7777777777777775,4.444444444444444
65528,test_p1;test_p2;test_p3;test_p4;test_p5;test_p6;test_p7;test_p8;test_s1;test_s2;test_s3;test_final;disassemble_s2;disassemble_s3;disassemble_final,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,True,,144.54320987654322,55.456790123456784,0.9,1.0,73.82716049382717,12.71604938271605,35.55555555555556,20.0,2.4444444444444438,0.0
