scope,sample_size,case_id,method,checked_strategies,checked_endpoint_vectors,checked_comparisons,violation_count,passed,checked_parameters
q2,100,1,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,100,2,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,100,3,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,100,4,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,100,5,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,100,6,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,1,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,2,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,3,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,4,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,5,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,368,6,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,1,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,2,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,3,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,4,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,5,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,400,6,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,1,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,2,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,3,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,4,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,5,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q2,1000,6,all_8_interval_endpoint_comparable_pairs,16,8,304,0,True,
q3,100,q3,one_parameter_at_a_time_raise_to_ci_upper_from_point_estimate,65536,,786432,0,True,12
q3,368,q3,one_parameter_at_a_time_raise_to_ci_upper_from_point_estimate,65536,,786432,0,True,12
q3,400,q3,one_parameter_at_a_time_raise_to_ci_upper_from_point_estimate,65536,,786432,0,True,12
q3,1000,q3,one_parameter_at_a_time_raise_to_ci_upper_from_point_estimate,65536,,786432,0,True,12
