sample_size,case_id,nominal_strategy,robust_strategy,nominal_best_strategy,robust_best_strategy,strategy_changed,strategy_change_type,nominal_tied_best_count,nominal_tied_best_strategies,robust_tied_best_count,robust_tied_best_strategies,nominal_best_profit_at_point,nominal_strategy_worst_profit,robust_strategy_profit_at_point,robust_strategy_worst_profit,robust_profit_cost_at_point,nominal_market_defect_rate,robust_market_defect_rate_at_point,monotonicity_passed
100,1,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",18.111111111111107,13.587512743995312,18.111111111111107,13.587512743995312,0.0,0.09999999999999996,0.09999999999999996,True
100,2,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",12.0,4.866912729663561,12.0,4.866912729663561,0.0,0.2,0.2,True
100,3,"(1,1,0,1)","(1,1,1,1)","(1,1,0,1)","(1,1,1,1)",True,display_change_within_tied_best,2,"(1,1,0,1);(1,1,1,1)",1,"(1,1,1,1)",15.444444444444443,8.453428786171713,15.444444444444443,11.229273238723266,0.0,0.09999999999999996,0.0,True
100,4,"(1,1,1,1)","(1,1,1,1)","(1,1,1,1)","(1,1,1,1)",False,unchanged,1,"(1,1,1,1)",1,"(1,1,1,1)",14.75,8.751722068127329,14.75,8.751722068127329,0.0,0.0,0.0,True
100,5,"(0,1,0,0)","(1,1,0,1)","(0,1,0,0)","(1,1,0,1)",True,strict_switch,1,"(0,1,0,0)",1,"(1,1,0,1)",11.987654320987659,-3.0090794393389046,10.583333333333329,4.11043778213601,1.40432098765433,0.18999999999999995,0.1,True
100,6,"(0,0,0,0)","(1,0,0,0)","(0,0,0,0)","(1,0,0,0)",True,strict_switch,1,"(0,0,0,0)",1,"(1,0,0,0)",21.6786703601108,11.578530269798463,21.328765126111676,14.208500751724152,0.34990523399912377,0.1426250000000001,0.09750000000000003,True
368,1,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",18.081570996970243,16.07889941155804,18.081570996970243,16.07889941155804,0.0,0.10054347826086962,0.10054347826086962,True
368,2,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",11.925170068023682,8.665117759921571,11.925170068023682,8.665117759921571,0.0,0.20108695652173914,0.20108695652173914,True
368,3,"(1,1,1,1)","(1,1,1,1)","(1,1,1,1)","(1,1,1,1)",False,unchanged,1,"(1,1,1,1)",1,"(1,1,1,1)",15.416918428994414,13.550792633496762,15.416918428994414,13.550792633496762,0.0,0.0,0.0,True
368,4,"(1,1,1,1)","(1,1,1,1)","(1,1,1,1)","(1,1,1,1)",False,unchanged,1,"(1,1,1,1)",1,"(1,1,1,1)",14.687074829928918,11.945667207206114,14.687074829928918,11.945667207206114,0.0,0.0,0.0,True
368,5,"(0,1,0,0)","(1,1,0,1)","(0,1,0,0)","(1,1,0,1)",True,strict_switch,1,"(0,1,0,0)",1,"(1,1,0,1)",11.882422161329458,5.475228954792527,10.528865322546558,7.619111773190859,1.3535568387829002,0.19097796550142426,0.10054347826086962,True
368,6,"(0,0,0,0)","(1,0,0,0)","(0,0,0,0)","(1,0,0,0)",True,strict_switch,1,"(0,0,0,0)",1,"(1,0,0,0)",21.830455603509066,17.799074105258356,21.43879202335141,18.548644668534024,0.3916635801576547,0.13967869673070657,0.09543360113368825,True
400,1,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",18.111111111111107,16.21057897332755,18.111111111111107,16.21057897332755,0.0,0.09999999999999996,0.09999999999999996,True
400,2,"(1,1,0,1)","(1,1,0,1)","(1,1,0,1)","(1,1,0,1)",False,unchanged,1,"(1,1,0,1)",1,"(1,1,0,1)",12.0,8.905751475741376,12.0,8.905751475741376,0.0,0.2,0.2,True
400,3,"(1,1,0,1)","(1,1,1,1)","(1,1,0,1)","(1,1,1,1)",True,display_change_within_tied_best,2,"(1,1,0,1);(1,1,1,1)",1,"(1,1,1,1)",15.444444444444443,12.507258413326127,15.444444444444443,13.673494043327729,0.0,0.09999999999999996,0.0,True
400,4,"(1,1,1,1)","(1,1,1,1)","(1,1,1,1)","(1,1,1,1)",False,unchanged,1,"(1,1,1,1)",1,"(1,1,1,1)",14.75,12.148018286419926,14.75,12.148018286419926,0.0,0.0,0.0,True
